chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1109263	1133315	+	TTLL10	TTLL10	1	7.26E-1	Simul
chr1	1138887	1142071	-	TNFRSF18	TNFRSF18	1	6.98E-1	Simul
chr1	1146705	1149518	-	TNFRSF4	TNFRSF4	1	7.1E-1	Simul
chr1	1152287	1167411	-	SDF4	SDF4	1	7.09E-1	Simul
chr1	1167628	1170421	+	B3GALT6	B3GALT6	1	7.15E-1	Simul
chr1	1177825	1182102	-	FAM132A	FAM132A	1	7.07E-1	Simul
chr1	1189288	1209265	-	UBE2J2	UBE2J2	1	6.99E-1	Simul
chr1	1656276	1677431	-	SLC35E2	SLC35E2	4	2.92E-1	Simul
chr1	1682670	1711896	-	NADK	NADK	4	2.78E-1	Simul
chr1	1716728	1822495	-	GNB1	GNB1	6	1.46E-1	Simul
chr1	1846265	1848735	+	CALML6	CALML6	4	1.78E-1	Simul
chr1	1849028	1850712	-	TMEM52	TMEM52	4	1.51E-1	Simul
chr1	1853395	1935276	-	C1orf222	C1orf222	4	1.68E-1	Simul
chr1	1981908	2116834	+	PRKCZ	PRKCZ	4	4.45E-1	Simul
chr1	2115902	2144159	-	C1orf86	C1orf86	6	3.21E-2	Simul
chr1	2121236	2123179	+	AL590822.2	AL590822.2	2	3.4E-1	Simul
chr1	2160133	2241558	+	SKI	SKI	10	5.41E-2	Simul
chr1	2252691	2323146	-	MORN1	MORN1	6	3.95E-1	Simul
chr1	2323266	2336883	+	RER1	RER1	2	1.58E-1	Simul
chr1	2336235	2345236	-	PEX10	PEX10	2	1.69E-1	Simul
chr1	2357418	2436969	+	PLCH2	PLCH2	3	7.87E-1	Simul
chr1	2439971	2458039	-	PANK4	PANK4	5	8.62E-1	Simul
chr1	2460183	2461684	-	HES5	HES5	3	6.41E-1	Simul
chr1	2487077	2496821	+	TNFRSF14	TNFRSF14	3	1.92E-1	Simul
chr1	2517929	2522908	+	FAM213B	FAM213B	3	2.04E-1	Simul
chr1	2522077	2564481	-	MMEL1	MMEL1	3	1.87E-1	Simul
chr1	2567414	2718286	-	TTC34	TTC34	4	2.62E-1	Simul
chr1	2938045	2939465	+	ACTRT2	ACTRT2	3	1.12E-1	Simul
chr1	2985731	3355185	+	PRDM16	PRDM16	21	6.65E-1	Simul
chr1	3370989	3397677	+	ARHGEF16	ARHGEF16	2	7.38E-1	Simul
chr1	3406483	3528059	-	MEGF6	MEGF6	1	4.75E-1	Simul
chr1	3569083	3652765	+	TP73	TP73	3	3.99E-1	Simul
chr1	3668961	3688209	+	CCDC27	CCDC27	3	4.35E-1	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	3	4.21E-1	Simul
chr1	3728644	3773778	-	CEP104	CEP104	4	3.1E-1	Simul
chr1	3773844	3801993	+	DFFB	DFFB	2	2.04E-1	Simul
chr1	3805688	3816857	-	C1orf174	C1orf174	2	1.61E-1	Simul
chr1	4714791	4852594	+	AJAP1	AJAP1	7	1.12E-1	Simul
chr1	5922870	6052533	-	NPHP4	NPHP4	5	1.13E-1	Simul
chr1	6051525	6161253	+	KCNAB2	KCNAB2	3	8.68E-1	Simul
chr1	6161852	6240183	-	CHD5	CHD5	9	5.84E-1	Simul
chr1	6241328	6269449	-	RPL22	RPL22	29	6.42E-1	Simul
chr1	6265534	6281359	+	RNF207	RNF207	29	6.19E-1	Simul
chr1	6281252	6296032	-	ICMT	ICMT	29	6.1E-1	Simul
chr1	6304251	6305638	+	HES3	HES3	30	6.2E-1	Simul
chr1	6307405	6321035	-	GPR153	GPR153	30	6.28E-1	Simul
chr1	6324328	6454451	-	ACOT7	ACOT7	27	8.8E-1	Simul
chr1	6526151	6580121	-	PLEKHG5	PLEKHG5	4	2.68E-1	Simul
chr1	6581406	6614595	-	NOL9	NOL9	8	9.89576767E-4	CONVERGED
chr1	6615240	6639817	+	TAS1R1	TAS1R1	9	5.7048221E-4	CONVERGED
chr1	6640060	6649340	+	ZBTB48	ZBTB48	7	7.0773807E-4	CONVERGED
chr1	6650783	6674667	-	KLHL21	KLHL21	7	5.8265901E-4	CONVERGED
chr1	6673744	6684093	+	PHF13	PHF13	7	5.42445922E-4	CONVERGED
chr1	6684925	6695646	+	THAP3	THAP3	6	4.35053655E-4	CONVERGED
chr1	6694227	6761984	-	DNAJC11	DNAJC11	6	5.11921076E-4	CONVERGED
chr1	6845383	7829766	+	CAMTA1	CAMTA1	27	1.03E-1	Simul
chr1	7831328	7841492	+	VAMP3	VAMP3	4	2.63E-2	Simul
chr1	7844379	7905237	+	PER3	PER3	6	6.64E-1	Simul
chr1	7903142	7913572	-	UTS2	UTS2	5	6.04E-1	Simul
chr1	7979906	8000926	-	TNFRSF9	TNFRSF9	2	7.58E-1	Simul
chr1	8014350	8045565	+	PARK7	PARK7	1	5.42E-1	Simul
chr1	8064463	8086368	-	ERRFI1	ERRFI1	1	2.39E-3	Simul
chr1	8377885	8404227	+	SLC45A1	SLC45A1	2	1.52E-2	Simul
chr1	8412456	8877702	-	RERE	RERE	5	2.91E-2	Simul
chr1	8921060	8939308	-	ENO1	ENO1	1	9.48E-1	Simul
chr1	9005925	9035151	+	CA6	CA6	5	2.67E-1	Simul
chr1	9063358	9086404	-	SLC2A7	SLC2A7	4	2.35E-1	Simul
chr1	9095165	9148537	-	SLC2A5	SLC2A5	2	1.6E-1	Simul
chr1	9160363	9189229	-	GPR157	GPR157	3	7.84E-1	Simul
chr1	9294833	9331396	+	H6PD	H6PD	6	5.05E-1	Simul
chr1	9352938	9429591	+	SPSB1	SPSB1	4	1.61E-1	Simul
chr1	9599540	9645237	+	SLC25A33	SLC25A33	4	5.59E-1	Simul
chr1	9648931	9674935	+	TMEM201	TMEM201	2	6.31E-1	Simul
chr1	9711789	9789172	+	PIK3CD	PIK3CD	2	6.31E-1	Simul
chr1	9712667	9714644	-	C1orf200	C1orf200	2	6.4E-1	Simul
chr1	9789083	9884584	-	CLSTN1	CLSTN1	2	9.01E-2	Simul
chr1	9908333	9970394	-	CTNNBIP1	CTNNBIP1	2	9.51E-2	Simul
chr1	9982172	10003465	-	LZIC	LZIC	1	2.95E-1	Simul
chr1	10003485	10045559	+	NMNAT1	NMNAT1	1	3.14E-1	Simul
chr1	10057263	10076078	+	RBP7	RBP7	2	4.45E-1	Simul
chr1	10092889	10241297	+	UBE4B	UBE4B	5	3.2E-1	Simul
chr1	10270862	10441661	+	KIF1B	KIF1B	11	2.55E-1	Simul
chr1	10458648	10480201	+	PGD	PGD	4	5.99E-1	Simul
chr1	10490158	10512210	+	APITD1-CORT	APITD1-CORT	3	6.91E-1	Simul
chr1	10509775	10511959	+	CORT	CORT	2	6.48E-1	Simul
chr1	10516578	10532583	-	DFFA	DFFA	5	6.66E-1	Simul
