chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	955502	991496	+	AGRN	AGRN	11	4.37E-1	Simul
chr1	1006345	1009687	-	RNF223	RNF223	14	4.64E-1	Simul
chr1	1017197	1051741	-	C1orf159	C1orf159	21	6.35E-1	Simul
chr1	1109263	1133315	+	TTLL10	TTLL10	23	2.16023207E-4	CONVERGED
chr1	1138887	1142071	-	TNFRSF18	TNFRSF18	19	2.42439E-4	CONVERGED
chr1	1146705	1149518	-	TNFRSF4	TNFRSF4	19	1.11728875E-4	CONVERGED
chr1	1152287	1167411	-	SDF4	SDF4	19	1.89883686E-4	CONVERGED
chr1	1167628	1170421	+	B3GALT6	B3GALT6	18	1.08107667E-4	CONVERGED
chr1	1177825	1182102	-	FAM132A	FAM132A	15	7.47702403E-5	CONVERGED
chr1	1189288	1209265	-	UBE2J2	UBE2J2	11	1.11254049E-4	CONVERGED
chr1	1215815	1227409	+	SCNN1D	SCNN1D	4	3.29579509E-5	CONVERGED
chr1	1227755	1244989	-	ACAP3	ACAP3	3	2.80195674E-5	CONVERGED
chr1	1243946	1247057	+	PUSL1	PUSL1	2	1.78898827E-5	CONVERGED
chr1	1246964	1260071	-	CPSF3L	CPSF3L	1	5.15E-3	Simul
chr1	1260135	1264277	+	GLTPD1	GLTPD1	2	1.13062219E-3	CONVERGED
chr1	1266693	1270686	+	TAS1R3	TAS1R3	1	5.70363412E-4	CONVERGED
chr1	1270655	1284730	-	DVL1	DVL1	1	5.70363412E-4	CONVERGED
chr1	1288068	1297157	-	MXRA8	MXRA8	1	5.70363412E-4	CONVERGED
chr1	1309109	1310875	-	AURKAIP1	AURKAIP1	1	5.70363412E-4	CONVERGED
chr1	1321090	1334708	-	CCNL2	CCNL2	1	5.70363412E-4	CONVERGED
chr1	1337287	1342693	-	MRPL20	MRPL20	1	5.70363412E-4	CONVERGED
chr1	1353799	1357149	-	ANKRD65	ANKRD65	1	5.70363412E-4	CONVERGED
chr1	1407142	1433228	+	ATAD3B	ATAD3B	5	2.57E-2	Simul
chr1	1447530	1470067	+	ATAD3A	ATAD3A	13	1.35E-2	Simul
chr1	1470553	1475833	-	TMEM240	TMEM240	13	1.32E-2	Simul
chr1	1477052	1510249	-	SSU72	SSU72	13	1.28E-2	Simul
chr1	1510354	1511373	+	AL645728.1	AL645728.1	13	1.32E-2	Simul
chr1	1533391	1535476	-	C1orf233	C1orf233	8	1.33E-2	Simul
chr1	1550794	1565990	+	MIB2	MIB2	3	4.21E-3	Simul
chr1	1656276	1677431	-	SLC35E2	SLC35E2	5	6.00720381E-4	CONVERGED
chr1	1682670	1711896	-	NADK	NADK	7	6.13627036E-4	CONVERGED
chr1	1716728	1822495	-	GNB1	GNB1	20	2.01E-3	Simul
chr1	1846265	1848735	+	CALML6	CALML6	14	4.08E-3	Simul
chr1	1849028	1850712	-	TMEM52	TMEM52	13	6.03E-3	Simul
chr1	1853395	1935276	-	C1orf222	C1orf222	12	6.24E-3	Simul
chr1	1981908	2116834	+	PRKCZ	PRKCZ	48	4.81E-2	Simul
chr1	2115902	2144159	-	C1orf86	C1orf86	35	1.93E-1	Simul
chr1	2121236	2123179	+	AL590822.2	AL590822.2	29	2.18E-1	Simul
chr1	2160133	2241558	+	SKI	SKI	43	4.98E-1	Simul
chr1	2252691	2323146	-	MORN1	MORN1	44	4.78E-1	Simul
chr1	2323266	2336883	+	RER1	RER1	30	3.68E-1	Simul
chr1	2336235	2345236	-	PEX10	PEX10	22	6.63E-1	Simul
chr1	2357418	2436969	+	PLCH2	PLCH2	34	3.45E-1	Simul
chr1	2439971	2458039	-	PANK4	PANK4	26	1.03E-1	Simul
