chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	860259	879955	+	SAMD11	SAMD11	14	3.77E-2	Simul
chr1	879583	894689	-	NOC2L	NOC2L	17	5.18E-2	Simul
chr1	895966	901095	+	KLHL17	KLHL17	18	5.17E-2	Simul
chr1	901876	911245	+	PLEKHN1	PLEKHN1	18	9.82E-2	Simul
chr1	910578	917497	-	C1orf170	C1orf170	16	2.94E-1	Simul
chr1	934341	935552	-	HES4	HES4	14	2.97E-1	Simul
chr1	948802	949920	+	ISG15	ISG15	17	2.97E-1	Simul
chr1	955502	991496	+	AGRN	AGRN	29	7.16E-1	Simul
chr1	1006345	1009687	-	RNF223	RNF223	25	6.73E-1	Simul
chr1	1017197	1051741	-	C1orf159	C1orf159	34	7.77E-1	Simul
chr1	1109263	1133315	+	TTLL10	TTLL10	42	4.95E-3	Simul
chr1	1138887	1142071	-	TNFRSF18	TNFRSF18	36	3.93E-3	Simul
chr1	1146705	1149518	-	TNFRSF4	TNFRSF4	36	3.95E-3	Simul
chr1	1152287	1167411	-	SDF4	SDF4	37	4.15E-3	Simul
chr1	1167628	1170421	+	B3GALT6	B3GALT6	33	3.61E-3	Simul
chr1	1177825	1182102	-	FAM132A	FAM132A	28	3.01E-3	Simul
chr1	1189288	1209265	-	UBE2J2	UBE2J2	33	1.64E-3	Simul
chr1	1215815	1227409	+	SCNN1D	SCNN1D	24	1.3E-3	Simul
chr1	1227755	1244989	-	ACAP3	ACAP3	20	1.18E-3	Simul
chr1	1243946	1247057	+	PUSL1	PUSL1	19	1E-3	Simul
chr1	1246964	1260071	-	CPSF3L	CPSF3L	21	8.22660819E-4	CONVERGED
chr1	1260135	1264277	+	GLTPD1	GLTPD1	22	1.02E-3	Simul
chr1	1266693	1270686	+	TAS1R3	TAS1R3	21	1.11E-3	Simul
chr1	1270655	1284730	-	DVL1	DVL1	22	1.25E-3	Simul
chr1	1288068	1297157	-	MXRA8	MXRA8	21	8.8261603E-4	CONVERGED
chr1	1309109	1310875	-	AURKAIP1	AURKAIP1	15	1.14E-3	Simul
chr1	1321090	1334708	-	CCNL2	CCNL2	17	1.24E-3	Simul
chr1	1337287	1342693	-	MRPL20	MRPL20	16	1.1E-3	Simul
chr1	1353799	1357149	-	ANKRD65	ANKRD65	12	1.1165807E-3	CONVERGED
chr1	1370240	1378262	+	VWA1	VWA1	10	7.89726833E-4	CONVERGED
chr1	1385068	1405538	+	ATAD3C	ATAD3C	11	9.08882223E-4	CONVERGED
chr1	1407142	1433228	+	ATAD3B	ATAD3B	17	2.16E-1	Simul
chr1	1447530	1470067	+	ATAD3A	ATAD3A	26	2.6E-1	Simul
chr1	1470553	1475833	-	TMEM240	TMEM240	28	2.01E-2	Simul
chr1	1477052	1510249	-	SSU72	SSU72	29	6.5303628E-7	CONVERGED
chr1	1510354	1511373	+	AL645728.1	AL645728.1	26	1.0482157E-6	CONVERGED
chr1	1533391	1535476	-	C1orf233	C1orf233	18	1.13242749E-14	CONVERGED
chr1	1550794	1565990	+	MIB2	MIB2	15	1.2101431E-14	CONVERGED
chr1	1567473	1570639	+	MMP23B	MMP23B	12	8.77076189E-15	CONVERGED
chr1	1570602	1590473	-	CDK11B	CDK11B	12	1.63202785E-14	CONVERGED
chr1	1592938	1624167	-	SLC35E2B	SLC35E2B	13	1.07691633E-14	CONVERGED
chr1	1634168	1655766	-	CDK11A	CDK11A	18	2.85817352E-5	CONVERGED
chr1	1656276	1677431	-	SLC35E2	SLC35E2	28	2.14935521E-5	CONVERGED
chr1	1682670	1711896	-	NADK	NADK	30	5.75E-3	Simul
chr1	1716728	1822495	-	GNB1	GNB1	63	8.82E-3	Simul
chr1	1846265	1848735	+	CALML6	CALML6	32	1.49E-2	Simul
chr1	1849028	1850712	-	TMEM52	TMEM52	32	1.98E-2	Simul
chr1	1853395	1935276	-	C1orf222	C1orf222	49	3.06E-2	Simul
chr1	1950779	1962192	+	GABRD	GABRD	25	1.87E-1	Simul
chr1	1981908	2116834	+	PRKCZ	PRKCZ	87	1.54E-1	Simul
chr1	2115902	2144159	-	C1orf86	C1orf86	50	6.08E-1	Simul
chr1	2121236	2123179	+	AL590822.2	AL590822.2	39	4.66E-1	Simul
chr1	2160133	2241558	+	SKI	SKI	70	8.53E-1	Simul
chr1	2252691	2323146	-	MORN1	MORN1	88	3.4E-1	Simul
chr1	2323266	2336883	+	RER1	RER1	60	2.69E-1	Simul
chr1	2336235	2345236	-	PEX10	PEX10	51	2.58E-1	Simul
chr1	2357418	2436969	+	PLCH2	PLCH2	76	2.89304277E-5	CONVERGED
chr1	2439971	2458039	-	PANK4	PANK4	46	2.28243039E-8	CONVERGED
chr1	2460183	2461684	-	HES5	HES5	37	8.04475164E-9	CONVERGED
chr1	2487077	2496821	+	TNFRSF14	TNFRSF14	50	5.05846032E-9	CONVERGED
chr1	2517929	2522908	+	FAM213B	FAM213B	37	4.37002234E-9	CONVERGED
chr1	2522077	2564481	-	MMEL1	MMEL1	37	5.13629905E-9	CONVERGED
chr1	2567414	2718286	-	TTC34	TTC34	40	5.88466431E-7	CONVERGED
chr1	2938045	2939465	+	ACTRT2	ACTRT2	36	3.66E-1	Simul
chr1	2985731	3355185	+	PRDM16	PRDM16	228	4.14E-1	Simul
chr1	3370989	3397677	+	ARHGEF16	ARHGEF16	42	2.03E-2	Simul
chr1	3406483	3528059	-	MEGF6	MEGF6	84	4.71E-2	Simul
chr1	3541565	3546691	+	TPRG1L	TPRG1L	53	3.09E-1	Simul
chr1	3547330	3569325	-	WRAP73	WRAP73	52	2.05E-1	Simul
chr1	3569083	3652765	+	TP73	TP73	88	2.96E-1	Simul
chr1	3668961	3688209	+	CCDC27	CCDC27	66	4.09E-1	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	74	3.39E-1	Simul
chr1	3728644	3773778	-	CEP104	CEP104	90	3.3E-1	Simul
chr1	3773844	3801993	+	DFFB	DFFB	67	1.61E-1	Simul
chr1	3805688	3816857	-	C1orf174	C1orf174	45	1.46E-1	Simul
chr1	4714791	4852594	+	AJAP1	AJAP1	183	6.7E-2	Simul
chr1	5922870	6052533	-	NPHP4	NPHP4	124	5.58E-1	Simul
chr1	6051525	6161253	+	KCNAB2	KCNAB2	96	6.41E-1	Simul
chr1	6161852	6240183	-	CHD5	CHD5	75	3.12581519E-5	CONVERGED
chr1	6241328	6269449	-	RPL22	RPL22	54	5.39338091E-5	CONVERGED
chr1	6265534	6281359	+	RNF207	RNF207	36	2.43145666E-5	CONVERGED
chr1	6281252	6296032	-	ICMT	ICMT	34	2.86133922E-5	CONVERGED
chr1	6304251	6305638	+	HES3	HES3	35	1.01862921E-4	CONVERGED
chr1	6307405	6321035	-	GPR153	GPR153	44	2.324017E-5	CONVERGED
chr1	6324328	6454451	-	ACOT7	ACOT7	68	6.08E-2	Simul
chr1	6472477	6484730	-	HES2	HES2	25	3.29E-2	Simul
chr1	6484847	6521430	+	ESPN	ESPN	36	5.23E-2	Simul
chr1	6521210	6526255	-	TNFRSF25	TNFRSF25	32	5.05E-2	Simul
chr1	6526151	6580121	-	PLEKHG5	PLEKHG5	50	6.13E-2	Simul
chr1	6581406	6614595	-	NOL9	NOL9	47	6.96E-2	Simul
chr1	6615240	6639817	+	TAS1R1	TAS1R1	49	8.96E-1	Simul
chr1	6640060	6649340	+	ZBTB48	ZBTB48	39	8.51E-1	Simul
chr1	6650783	6674667	-	KLHL21	KLHL21	50	9.06E-1	Simul
chr1	6673744	6684093	+	PHF13	PHF13	49	8.72E-1	Simul
chr1	6684925	6695646	+	THAP3	THAP3	50	8.51E-1	Simul
chr1	6694227	6761984	-	DNAJC11	DNAJC11	79	6.36E-1	Simul
chr1	6845383	7829766	+	CAMTA1	CAMTA1	560	8.38E-3	Simul
chr1	7831328	7841492	+	VAMP3	VAMP3	61	8.41646244E-4	CONVERGED
chr1	7844379	7905237	+	PER3	PER3	93	1.53E-3	Simul
chr1	7903142	7913572	-	UTS2	UTS2	56	7.40866938E-4	CONVERGED
chr1	7979906	8000926	-	TNFRSF9	TNFRSF9	34	7.16481662E-7	CONVERGED
chr1	8014350	8045565	+	PARK7	PARK7	33	5.57299733E-8	CONVERGED
chr1	8064463	8086368	-	ERRFI1	ERRFI1	30	7.91467391E-8	CONVERGED
chr1	8377885	8404227	+	SLC45A1	SLC45A1	38	2.71E-2	Simul
chr1	8412456	8877702	-	RERE	RERE	160	5.1E-2	Simul
chr1	8921060	8939308	-	ENO1	ENO1	41	1.88E-1	Simul
chr1	9005925	9035151	+	CA6	CA6	82	3.56E-1	Simul
