chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	860259	879955	+	SAMD11	SAMD11	1	9.1E-1	Simul
chr1	879583	894689	-	NOC2L	NOC2L	1	9.21E-1	Simul
chr1	895966	901095	+	KLHL17	KLHL17	2	9.47E-1	Simul
chr1	901876	911245	+	PLEKHN1	PLEKHN1	3	9.28E-1	Simul
chr1	910578	917497	-	C1orf170	C1orf170	4	8.44E-1	Simul
chr1	934341	935552	-	HES4	HES4	4	8.13E-1	Simul
chr1	948802	949920	+	ISG15	ISG15	7	6.8E-1	Simul
chr1	955502	991496	+	AGRN	AGRN	26	9.51E-1	Simul
chr1	1006345	1009687	-	RNF223	RNF223	29	9.16E-1	Simul
chr1	1017197	1051741	-	C1orf159	C1orf159	46	9.59E-1	Simul
chr1	1109263	1133315	+	TTLL10	TTLL10	42	1.6E-1	Simul
chr1	1138887	1142071	-	TNFRSF18	TNFRSF18	30	1.16E-1	Simul
chr1	1146705	1149518	-	TNFRSF4	TNFRSF4	30	1.14E-1	Simul
chr1	1152287	1167411	-	SDF4	SDF4	28	9.65E-2	Simul
chr1	1167628	1170421	+	B3GALT6	B3GALT6	26	2.81E-1	Simul
chr1	1177825	1182102	-	FAM132A	FAM132A	21	2.68E-1	Simul
chr1	1189288	1209265	-	UBE2J2	UBE2J2	19	2.62E-1	Simul
chr1	1215815	1227409	+	SCNN1D	SCNN1D	10	1.31E-1	Simul
chr1	1227755	1244989	-	ACAP3	ACAP3	9	1.37E-1	Simul
chr1	1243946	1247057	+	PUSL1	PUSL1	5	9.25E-2	Simul
chr1	1246964	1260071	-	CPSF3L	CPSF3L	7	1.18E-1	Simul
chr1	1260135	1264277	+	GLTPD1	GLTPD1	9	1.03E-1	Simul
chr1	1266693	1270686	+	TAS1R3	TAS1R3	8	3.69E-1	Simul
chr1	1270655	1284730	-	DVL1	DVL1	8	3.46E-1	Simul
chr1	1288068	1297157	-	MXRA8	MXRA8	7	3.09E-1	Simul
chr1	1309109	1310875	-	AURKAIP1	AURKAIP1	6	3E-1	Simul
chr1	1321090	1334708	-	CCNL2	CCNL2	7	1.86E-1	Simul
